"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 07 23:18:00 UTC 2026","Mon Sep 07 23:18:00 UTC 2026","342","","br.com.agibank.dogapitestes.tests.RandomImageTest","","br.com.agibank.dogapitestes.tests.RandomImageTest","deveValidarEnvioSuperiorPermitido","Deve validar o comportamento ao enviar mais de 50 imagens",""
"passed","Mon Sep 07 23:17:59 UTC 2026","Mon Sep 07 23:17:59 UTC 2026","290","","br.com.agibank.dogapitestes.tests.BreedsTest","","br.com.agibank.dogapitestes.tests.BreedsTest","deveListarTodasAsRacas","Deve Listar todas as raças com sucesso",""
"passed","Mon Sep 07 23:18:00 UTC 2026","Mon Sep 07 23:18:00 UTC 2026","266","","br.com.agibank.dogapitestes.tests.RandomImageTest","","br.com.agibank.dogapitestes.tests.RandomImageTest","deveListarImagensRandomicas","Deve listar imagens randômicas",""
"passed","Mon Sep 07 23:17:56 UTC 2026","Mon Sep 07 23:17:59 UTC 2026","2535","","br.com.agibank.dogapitestes.tests.BreedsTest","","br.com.agibank.dogapitestes.tests.BreedsTest","deveListarImagensDeRacaExistente","Deve listar imagens de raça existente",""
"passed","Mon Sep 07 23:18:00 UTC 2026","Mon Sep 07 23:18:00 UTC 2026","236","","br.com.agibank.dogapitestes.tests.RandomImageTest","","br.com.agibank.dogapitestes.tests.RandomImageTest","deveListarQuantidadeEspecificaDeImagens","Deve listar uma quantidade específica de imagens randômicas",""
"failed","Mon Sep 07 23:17:59 UTC 2026","Mon Sep 07 23:17:59 UTC 2026","270","","br.com.agibank.dogapitestes.tests.BreedsTest","","br.com.agibank.dogapitestes.tests.BreedsTest","NaoDeveListarImagensDeRacaInexistente","não deve listar imagens com raça inexistente",""
